STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,centlat,centlong,id,GEO_id,GEO_id2,GEO_displa,ACS_14_5YR,ACS_14_5_1,GEO_id_1,GEO_id2_1,GEO_disp_1,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
expanded_label,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,centroid latitude,centroid longitude,,xxx,xxx,xxx,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),xxx,xxx,xxx,Estimate; Total:,Margin of Error; Total:,Estimate; Household received Food Stamps/SNAP in the past 12 months:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months:,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months:,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability
11,1,1401,1,1500000US110010014011,1.10E+11,1,BG,357424,0,38.96331627,-77.06851953,0,1500000US110010014011,1.1001E+11,"Block Group 1, Census Tract 14.01, District of Columbia, District of Columbia",92159,19025,1500000US110010014011,1.10E+11,"Block Group 1, Census Tract 14.01, District of Columbia, District of Columbia",1043,76,30,21,12,18,18,20,1013,80,87,50,926,93
11,1,7808,3,1500000US110010078083,1.10E+11,3,BG,260774,2104,38.89274489,-76.9201825,0,1500000US110010078083,1.1001E+11,"Block Group 3, Census Tract 78.08, District of Columbia, District of Columbia",31607,20734,1500000US110010078083,1.10E+11,"Block Group 3, Census Tract 78.08, District of Columbia, District of Columbia",233,90,99,74,42,50,57,54,134,57,40,37,94,48
11,1,8701,1,1500000US110010087011,1.10E+11,1,BG,265509,0,38.91266636,-77.00635363,0,1500000US110010087011,1.1001E+11,"Block Group 1, Census Tract 87.01, District of Columbia, District of Columbia",76875,24411,1500000US110010087011,1.10E+11,"Block Group 1, Census Tract 87.01, District of Columbia, District of Columbia",490,79,43,34,6,11,37,33,447,72,48,26,399,76
11,1,7605,1,1500000US110010076051,1.10E+11,1,BG,129095,0,38.86640984,-76.97668677,0,1500000US110010076051,1.1001E+11,"Block Group 1, Census Tract 76.05, District of Columbia, District of Columbia",75655,36913,1500000US110010076051,1.10E+11,"Block Group 1, Census Tract 76.05, District of Columbia, District of Columbia",289,58,47,29,24,24,23,23,242,67,36,30,206,64
11,1,801,1,1500000US110010008011,1.10E+11,1,BG,201588,0,38.93248259,-77.0825357,0,1500000US110010008011,1.1001E+11,"Block Group 1, Census Tract 8.01, District of Columbia, District of Columbia",95395,28867,1500000US110010008011,1.10E+11,"Block Group 1, Census Tract 8.01, District of Columbia, District of Columbia",1298,156,0,12,0,12,0,12,1298,156,170,116,1128,161
11,1,202,3,1500000US110010002023,1.10E+11,3,BG,154527,0,38.90645843,-77.06592563,0,1500000US110010002023,1.1001E+11,"Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia",77401,68912,1500000US110010002023,1.10E+11,"Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia",419,90,0,12,0,12,0,12,419,90,28,23,391,90
11,1,2002,1,1500000US110010020021,1.10E+11,1,BG,345391,0,38.95045639,-77.03183689,0,1500000US110010020021,1.1001E+11,"Block Group 1, Census Tract 20.02, District of Columbia, District of Columbia",83068,44091,1500000US110010020021,1.10E+11,"Block Group 1, Census Tract 20.02, District of Columbia, District of Columbia",321,66,37,29,37,29,0,12,284,68,80,46,204,65
11,1,4901,2,1500000US110010049012,1.10E+11,2,BG,187524,0,38.91053861,-77.02451482,0,1500000US110010049012,1.1001E+11,"Block Group 2, Census Tract 49.01, District of Columbia, District of Columbia",80096,25661,1500000US110010049012,1.10E+11,"Block Group 2, Census Tract 49.01, District of Columbia, District of Columbia",475,69,65,41,34,28,31,27,410,63,47,28,363,59
11,1,2101,5,1500000US110010021015,1.10E+11,5,BG,82327,0,38.95627562,-77.02605595,0,1500000US110010021015,1.1001E+11,"Block Group 5, Census Tract 21.01, District of Columbia, District of Columbia",34500,94364,1500000US110010021015,1.10E+11,"Block Group 5, Census Tract 21.01, District of Columbia, District of Columbia",280,104,9,15,0,12,9,15,271,103,18,30,253,102
